=================================================================
  EDR Agent Active: Process Anomaly Detector & Heuristics ON
=================================================================

[⚙️ PROC_LAUNCH]  PID: 69 | Parent PID: 2 (kthreadd) | App: [irq/9-acpi]
[⚙️ PROC_LAUNCH]  PID: 71 | Parent PID: 2 (kthreadd) | App: [kworker/R-tpm_dev_wq]
[⚙️ PROC_LAUNCH]  PID: 72 | Parent PID: 2 (kthreadd) | App: [kworker/R-edac-poller]
[⚙️ PROC_LAUNCH]  PID: 73 | Parent PID: 2 (kthreadd) | App: [kworker/R-devfreq_wq]
[⚙️ PROC_LAUNCH]  PID: 74 | Parent PID: 2 (kthreadd) | App: [kworker/R-quota_events_unbound]
[⚙️ PROC_LAUNCH]  PID: 75 | Parent PID: 2 (kthreadd) | App: [kworker/0:1H-kblockd]
[⚙️ PROC_LAUNCH]  PID: 77 | Parent PID: 2 (kthreadd) | App: [kswapd0]
[⚙️ PROC_LAUNCH]  PID: 78 | Parent PID: 2 (kthreadd) | App: [kdamond.0]
[⚙️ PROC_LAUNCH]  PID: 82 | Parent PID: 2 (kthreadd) | App: [kworker/R-kthrotld]
[⚙️ PROC_LAUNCH]  PID: 83 | Parent PID: 2 (kthreadd) | App: [kworker/R-acpi_thermal_pm]
[⚙️ PROC_LAUNCH]  PID: 84 | Parent PID: 2 (kthreadd) | App: [kworker/R-mld]
[⚙️ PROC_LAUNCH]  PID: 86 | Parent PID: 2 (kthreadd) | App: [kworker/R-ipv6_addrconf]
[⚙️ PROC_LAUNCH]  PID: 87 | Parent PID: 2 (kthreadd) | App: [kworker/R-kstrp]
[⚙️ PROC_LAUNCH]  PID: 88 | Parent PID: 2 (kthreadd) | App: [kworker/u20:1-netns]
[⚙️ PROC_LAUNCH]  PID: 95 | Parent PID: 2 (kthreadd) | App: [kworker/u26:0]
[⚙️ PROC_LAUNCH]  PID: 96 | Parent PID: 2 (kthreadd) | App: [kworker/u27:0-ttm]
[⚙️ PROC_LAUNCH]  PID: 97 | Parent PID: 2 (kthreadd) | App: [kworker/u28:0]
[⚙️ PROC_LAUNCH]  PID: 98 | Parent PID: 2 (kthreadd) | App: [kworker/u29:0-ttm]
[⚙️ PROC_LAUNCH]  PID: 99 | Parent PID: 2 (kthreadd) | App: [kworker/u30:0-ttm]
[⚙️ PROC_LAUNCH]  PID: 100 | Parent PID: 2 (kthreadd) | App: [kworker/u31:0]
[⚙️ PROC_LAUNCH]  PID: 170 | Parent PID: 2 (kthreadd) | App: [kworker/3:1H-kblockd]
[⚙️ PROC_LAUNCH]  PID: 197 | Parent PID: 2 (kthreadd) | App: [kworker/4:1H-kblockd]
[⚙️ PROC_LAUNCH]  PID: 199 | Parent PID: 2 (kthreadd) | App: [kworker/1:1H-kblockd]
[⚙️ PROC_LAUNCH]  PID: 204 | Parent PID: 2 (kthreadd) | App: [kworker/2:1H-events_highpri]
[⚙️ PROC_LAUNCH]  PID: 249 | Parent PID: 2 (kthreadd) | App: [kworker/R-ata_sff]
[⚙️ PROC_LAUNCH]  PID: 251 | Parent PID: 2 (kthreadd) | App: [scsi_eh_0]
[⚙️ PROC_LAUNCH]  PID: 252 | Parent PID: 2 (kthreadd) | App: [scsi_eh_1]
[⚙️ PROC_LAUNCH]  PID: 253 | Parent PID: 2 (kthreadd) | App: [kworker/R-scsi_tmf_1]
[⚙️ PROC_LAUNCH]  PID: 254 | Parent PID: 2 (kthreadd) | App: [kworker/u23:2-ext4-rsv-conversion]
[⚙️ PROC_LAUNCH]  PID: 255 | Parent PID: 2 (kthreadd) | App: [kworker/R-scsi_tmf_0]
[⚙️ PROC_LAUNCH]  PID: 256 | Parent PID: 2 (kthreadd) | App: [scsi_eh_2]
[⚙️ PROC_LAUNCH]  PID: 257 | Parent PID: 2 (kthreadd) | App: [kworker/R-scsi_tmf_2]
[⚙️ PROC_LAUNCH]  PID: 261 | Parent PID: 2 (kthreadd) | App: [irq/18-vmwgfx]
[⚙️ PROC_LAUNCH]  PID: 262 | Parent PID: 2 (kthreadd) | App: [kworker/R-ttm]
[⚙️ PROC_LAUNCH]  PID: 266 | Parent PID: 2 (kthreadd) | App: [kworker/1:2H-kblockd]
[⚙️ PROC_LAUNCH]  PID: 301 | Parent PID: 2 (kthreadd) | App: [jbd2/sda1-8]
[⚙️ PROC_LAUNCH]  PID: 302 | Parent PID: 2 (kthreadd) | App: [kworker/R-ext4-rsv-conversion]
[⚙️ PROC_LAUNCH]  PID: 361 | Parent PID: 1 (systemd) | App: [systemd-journal]
[⚙️ PROC_LAUNCH]  PID: 404 | Parent PID: 1 (systemd) | App: [systemd-udevd]
[⚙️ PROC_LAUNCH]  PID: 434 | Parent PID: 1 (systemd) | App: [haveged]
[⚙️ PROC_LAUNCH]  PID: 441 | Parent PID: 1 (systemd) | App: [systemd-userdbd]
[⚙️ PROC_LAUNCH]  PID: 484 | Parent PID: 2 (kthreadd) | App: [psimon]
[⚙️ PROC_LAUNCH]  PID: 494 | Parent PID: 2 (kthreadd) | App: [kworker/R-rpciod]
[⚙️ PROC_LAUNCH]  PID: 495 | Parent PID: 2 (kthreadd) | App: [kworker/R-xprtiod]
[⚙️ PROC_LAUNCH]  PID: 497 | Parent PID: 2 (kthreadd) | App: [psimon]
[⚙️ PROC_LAUNCH]  PID: 531 | Parent PID: 1 (systemd) | App: [accounts-daemon]
[⚙️ PROC_LAUNCH]  PID: 532 | Parent PID: 1 (systemd) | App: [cron]
[⚙️ PROC_LAUNCH]  PID: 534 | Parent PID: 1 (systemd) | App: [dbus-daemon]
[⚙️ PROC_LAUNCH]  PID: 539 | Parent PID: 1 (systemd) | App: [polkitd]
[⚙️ PROC_LAUNCH]  PID: 558 | Parent PID: 1 (systemd) | App: [systemd-logind]
[⚙️ PROC_LAUNCH]  PID: 626 | Parent PID: 1 (systemd) | App: [NetworkManager]
[⚙️ PROC_LAUNCH]  PID: 649 | Parent PID: 1 (systemd) | App: [ModemManager]
[⚙️ PROC_LAUNCH]  PID: 710 | Parent PID: 1 (systemd) | App: [VBoxDRMClient]
[⚙️ PROC_LAUNCH]  PID: 713 | Parent PID: 1 (systemd) | App: [VBoxService]
[⚙️ PROC_LAUNCH]  PID: 752 | Parent PID: 1 (systemd) | App: [lightdm]
[⚙️ PROC_LAUNCH]  PID: 773 | Parent PID: 1 (systemd) | App: [agetty]
[⚙️ PROC_LAUNCH]  PID: 838 | Parent PID: 2 (kthreadd) | App: [kworker/u27:1]
[⚙️ PROC_LAUNCH]  PID: 847 | Parent PID: 2 (kthreadd) | App: [psimon]
[⚙️ PROC_LAUNCH]  PID: 875 | Parent PID: 1 (systemd) | App: [rtkit-daemon]
[⚙️ PROC_LAUNCH]  PID: 1031 | Parent PID: 752 (lightdm) | App: [lightdm]
[⚙️ PROC_LAUNCH]  PID: 1042 | Parent PID: 1 (systemd) | App: [systemd]
[⚙️ PROC_LAUNCH]  PID: 1044 | Parent PID: 1042 (systemd) | App: [(sd-pam)]
[⚙️ PROC_LAUNCH]  PID: 1064 | Parent PID: 1042 (systemd) | App: [dbus-daemon]
[⚙️ PROC_LAUNCH]  PID: 1065 | Parent PID: 1042 (systemd) | App: [pipewire]
[⚙️ PROC_LAUNCH]  PID: 1067 | Parent PID: 1042 (systemd) | App: [gnome-keyring-d]
[⚙️ PROC_LAUNCH]  PID: 1068 | Parent PID: 1042 (systemd) | App: [mpris-proxy]
[⚙️ PROC_LAUNCH]  PID: 1069 | Parent PID: 1042 (systemd) | App: [wireplumber]
[⚙️ PROC_LAUNCH]  PID: 1070 | Parent PID: 1042 (systemd) | App: [pipewire]
[⚙️ PROC_LAUNCH]  PID: 1071 | Parent PID: 1042 (systemd) | App: [pipewire-pulse]
[⚙️ PROC_LAUNCH]  PID: 1086 | Parent PID: 1031 (lightdm) | App: [gnome-session-i]
[⚙️ PROC_LAUNCH]  PID: 1179 | Parent PID: 1 (systemd) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 1181 | Parent PID: 1179 (VBoxClient) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 1200 | Parent PID: 1042 (systemd) | App: [gcr-ssh-agent]
[⚙️ PROC_LAUNCH]  PID: 1201 | Parent PID: 1042 (systemd) | App: [gnome-session-c]
[⚙️ PROC_LAUNCH]  PID: 1202 | Parent PID: 1042 (systemd) | App: [ssh-agent]
[⚙️ PROC_LAUNCH]  PID: 1213 | Parent PID: 2 (kthreadd) | App: [kworker/u29:1]
[⚙️ PROC_LAUNCH]  PID: 1224 | Parent PID: 1042 (systemd) | App: [gvfsd]
[⚙️ PROC_LAUNCH]  PID: 1231 | Parent PID: 1042 (systemd) | App: [gvfsd-fuse]
[⚙️ PROC_LAUNCH]  PID: 1239 | Parent PID: 1042 (systemd) | App: [gnome-session-s]
[⚙️ PROC_LAUNCH]  PID: 1247 | Parent PID: 1042 (systemd) | App: [gnome-shell]
[⚙️ PROC_LAUNCH]  PID: 1277 | Parent PID: 1042 (systemd) | App: [at-spi-bus-laun]
[⚙️ PROC_LAUNCH]  PID: 1284 | Parent PID: 1277 (at-spi-bus-laun) | App: [dbus-daemon]
[⚙️ PROC_LAUNCH]  PID: 1286 | Parent PID: 1042 (systemd) | App: [at-spi2-registr]
[⚙️ PROC_LAUNCH]  PID: 1287 | Parent PID: 1 (systemd) | App: [colord]
[⚙️ PROC_LAUNCH]  PID: 1306 | Parent PID: 1042 (systemd) | App: [dconf-service]
[⚙️ PROC_LAUNCH]  PID: 1322 | Parent PID: 1042 (systemd) | App: [xdg-permission-]
[⚙️ PROC_LAUNCH]  PID: 1324 | Parent PID: 1042 (systemd) | App: [gnome-shell-cal]
[⚙️ PROC_LAUNCH]  PID: 1335 | Parent PID: 1042 (systemd) | App: [evolution-sourc]
[⚙️ PROC_LAUNCH]  PID: 1343 | Parent PID: 1042 (systemd) | App: [gjs]
[⚙️ PROC_LAUNCH]  PID: 1344 | Parent PID: 1 (systemd) | App: [upowerd]
[⚙️ PROC_LAUNCH]  PID: 1358 | Parent PID: 1042 (systemd) | App: [xdg-desktop-por]
[⚙️ PROC_LAUNCH]  PID: 1369 | Parent PID: 1042 (systemd) | App: [ibus-daemon]
[⚙️ PROC_LAUNCH]  PID: 1370 | Parent PID: 1042 (systemd) | App: [gsd-a11y-settin]
[⚙️ PROC_LAUNCH]  PID: 1371 | Parent PID: 1042 (systemd) | App: [gsd-color]
[⚙️ PROC_LAUNCH]  PID: 1372 | Parent PID: 1042 (systemd) | App: [gsd-datetime]
[⚙️ PROC_LAUNCH]  PID: 1377 | Parent PID: 1042 (systemd) | App: [gsd-housekeepin]
[⚙️ PROC_LAUNCH]  PID: 1378 | Parent PID: 1042 (systemd) | App: [gsd-keyboard]
[⚙️ PROC_LAUNCH]  PID: 1379 | Parent PID: 1042 (systemd) | App: [gsd-media-keys]
[⚙️ PROC_LAUNCH]  PID: 1382 | Parent PID: 1042 (systemd) | App: [gsd-power]
[⚙️ PROC_LAUNCH]  PID: 1385 | Parent PID: 1042 (systemd) | App: [gsd-print-notif]
[⚙️ PROC_LAUNCH]  PID: 1388 | Parent PID: 1042 (systemd) | App: [gsd-rfkill]
[⚙️ PROC_LAUNCH]  PID: 1392 | Parent PID: 1042 (systemd) | App: [blueman-applet]
[⚙️ PROC_LAUNCH]  PID: 1396 | Parent PID: 1042 (systemd) | App: [gsd-screensaver]
[⚙️ PROC_LAUNCH]  PID: 1397 | Parent PID: 1042 (systemd) | App: [gsd-sharing]
[⚙️ PROC_LAUNCH]  PID: 1398 | Parent PID: 1042 (systemd) | App: [gsd-smartcard]
[⚙️ PROC_LAUNCH]  PID: 1399 | Parent PID: 1042 (systemd) | App: [gsd-sound]
[⚙️ PROC_LAUNCH]  PID: 1405 | Parent PID: 1042 (systemd) | App: [gsd-usb-protect]
[⚙️ PROC_LAUNCH]  PID: 1408 | Parent PID: 1042 (systemd) | App: [gsd-wwan]
[⚙️ PROC_LAUNCH]  PID: 1412 | Parent PID: 1042 (systemd) | App: [gsd-disk-utilit]
[⚙️ PROC_LAUNCH]  PID: 1417 | Parent PID: 1042 (systemd) | App: [evolution-alarm]
[⚙️ PROC_LAUNCH]  PID: 1450 | Parent PID: 1247 (gnome-shell) | App: [Xwayland]
[⚙️ PROC_LAUNCH]  PID: 1482 | Parent PID: 1 (systemd) | App: [udisksd]
[⚙️ PROC_LAUNCH]  PID: 1487 | Parent PID: 1042 (systemd) | App: [xdg-document-po]
[⚙️ PROC_LAUNCH]  PID: 1493 | Parent PID: 1042 (systemd) | App: [gsd-printer]
[⚙️ PROC_LAUNCH]  PID: 1545 | Parent PID: 1042 (systemd) | App: [gjs]
[⚙️ PROC_LAUNCH]  PID: 1555 | Parent PID: 1 (systemd) | App: [pcscd]
[⚙️ PROC_LAUNCH]  PID: 1556 | Parent PID: 1369 (ibus-daemon) | App: [ibus-memconf]
[⚙️ PROC_LAUNCH]  PID: 1557 | Parent PID: 1369 (ibus-daemon) | App: [ibus-extension-]
[⚙️ PROC_LAUNCH]  PID: 1562 | Parent PID: 1487 (xdg-document-po) | App: [fusermount3]
[⚙️ PROC_LAUNCH]  PID: 1567 | Parent PID: 1042 (systemd) | App: [ibus-portal]
[⚙️ PROC_LAUNCH]  PID: 1588 | Parent PID: 1042 (systemd) | App: [localsearch-3]
[⚙️ PROC_LAUNCH]  PID: 1607 | Parent PID: 1042 (systemd) | App: [xdg-desktop-por]
[⚙️ PROC_LAUNCH]  PID: 1639 | Parent PID: 1042 (systemd) | App: [goa-daemon]
[⚙️ PROC_LAUNCH]  PID: 1648 | Parent PID: 1042 (systemd) | App: [goa-identity-se]
[⚙️ PROC_LAUNCH]  PID: 1649 | Parent PID: 1042 (systemd) | App: [evolution-calen]
[⚙️ PROC_LAUNCH]  PID: 1671 | Parent PID: 1042 (systemd) | App: [evolution-addre]
[⚙️ PROC_LAUNCH]  PID: 1676 | Parent PID: 1042 (systemd) | App: [gvfs-udisks2-vo]
[⚙️ PROC_LAUNCH]  PID: 1690 | Parent PID: 1042 (systemd) | App: [gvfs-mtp-volume]
[⚙️ PROC_LAUNCH]  PID: 1729 | Parent PID: 1042 (systemd) | App: [gvfs-gphoto2-vo]
[⚙️ PROC_LAUNCH]  PID: 1730 | Parent PID: 1042 (systemd) | App: [gvfsd-metadata]
[⚙️ PROC_LAUNCH]  PID: 1734 | Parent PID: 1 (systemd) | App: [power-profiles-]
[⚙️ PROC_LAUNCH]  PID: 1764 | Parent PID: 1042 (systemd) | App: [gvfs-goa-volume]
[⚙️ PROC_LAUNCH]  PID: 1770 | Parent PID: 1369 (ibus-daemon) | App: [ibus-engine-sim]
[⚙️ PROC_LAUNCH]  PID: 1777 | Parent PID: 1042 (systemd) | App: [gvfs-afc-volume]
[⚙️ PROC_LAUNCH]  PID: 1841 | Parent PID: 2 (kthreadd) | App: [kworker/u30:1]
[⚙️ PROC_LAUNCH]  PID: 1907 | Parent PID: 1 (systemd) | App: [wpa_supplicant]
[⚙️ PROC_LAUNCH]  PID: 1981 | Parent PID: 2 (kthreadd) | App: [kworker/R-cfg80211]
[⚙️ PROC_LAUNCH]  PID: 2011 | Parent PID: 1042 (systemd) | App: [gsd-xsettings]
[⚙️ PROC_LAUNCH]  PID: 2025 | Parent PID: 1247 (gnome-shell) | App: [gjs]
[⚙️ PROC_LAUNCH]  PID: 2027 | Parent PID: 1042 (systemd) | App: [obexd]
[⚙️ PROC_LAUNCH]  PID: 2032 | Parent PID: 1247 (gnome-shell) | App: [mutter-x11-fram]
[⚙️ PROC_LAUNCH]  PID: 2034 | Parent PID: 1042 (systemd) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 2037 | Parent PID: 2034 (VBoxClient) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 2073 | Parent PID: 1042 (systemd) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 2080 | Parent PID: 2073 (VBoxClient) | App: [VBoxClient]
[⚙️ PROC_LAUNCH]  PID: 2131 | Parent PID: 1042 (systemd) | App: [ibus-x11]
[⚙️ PROC_LAUNCH]  PID: 2139 | Parent PID: 1224 (gvfsd) | App: [gvfsd-recent]
[⚙️ PROC_LAUNCH]  PID: 2144 | Parent PID: 1224 (gvfsd) | App: [gvfsd-trash]
[⚙️ PROC_LAUNCH]  PID: 2473 | Parent PID: 1042 (systemd) | App: [xdg-desktop-por]
[⚙️ PROC_LAUNCH]  PID: 5614 | Parent PID: 2 (kthreadd) | App: [kworker/u22:1-events_unbound]
[⚙️ PROC_LAUNCH]  PID: 9207 | Parent PID: 1247 (gnome-shell) | App: [firefox-esr]
[⚙️ PROC_LAUNCH]  PID: 9213 | Parent PID: 1042 (systemd) | App: [crashhelper]
[⚙️ PROC_LAUNCH]  PID: 9367 | Parent PID: 0 (<unknown>) | App: [Socke]
[⚙️ PROC_LAUNCH]  PID: 9393 | Parent PID: 0 (<unknown>) | App: [Privilege]
[⚙️ PROC_LAUNCH]  PID: 9400 | Parent PID: 0 (<unknown>) | App: [RD]
[⚙️ PROC_LAUNCH]  PID: 9547 | Parent PID: 9207 (firefox-esr) | App: [WebExtensions]
[⚙️ PROC_LAUNCH]  PID: 9605 | Parent PID: 0 (<unknown>) | App: [Utilit]
[⚙️ PROC_LAUNCH]  PID: 11443 | Parent PID: 2 (kthreadd) | App: [kworker/u25:0-kvfree_rcu_reclaim]
[⚙️ PROC_LAUNCH]  PID: 12037 | Parent PID: 0 (<unknown>) | App: [Isolate]
[⚙️ PROC_LAUNCH]  PID: 19600 | Parent PID: 0 (<unknown>) | App: [Isolate]
[⚙️ PROC_LAUNCH]  PID: 19955 | Parent PID: 0 (<unknown>) | App: [Isolate]
[⚙️ PROC_LAUNCH]  PID: 22259 | Parent PID: 2 (kthreadd) | App: [kworker/u23:3-ext4-rsv-conversion]
[⚙️ PROC_LAUNCH]  PID: 22345 | Parent PID: 1224 (gvfsd) | App: [gvfsd-network]
[⚙️ PROC_LAUNCH]  PID: 22354 | Parent PID: 1224 (gvfsd) | App: [gvfsd-dnssd]
[⚙️ PROC_LAUNCH]  PID: 25269 | Parent PID: 1 (systemd) | App: [fwupd]
[⚙️ PROC_LAUNCH]  PID: 38363 | Parent PID: 2 (kthreadd) | App: [kworker/u24:4-events_unbound]
[⚙️ PROC_LAUNCH]  PID: 38366 | Parent PID: 2 (kthreadd) | App: [kworker/u22:3-kvfree_rcu_reclaim]
[⚙️ PROC_LAUNCH]  PID: 64134 | Parent PID: 2 (kthreadd) | App: [kworker/u21:1-flush-8:0]
[⚙️ PROC_LAUNCH]  PID: 66387 | Parent PID: 2 (kthreadd) | App: [kworker/0:0-events]
[⚙️ PROC_LAUNCH]  PID: 66989 | Parent PID: 2 (kthreadd) | App: [kworker/4:2-events]
